Ship Mode,Segment,City,State,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,Profit Margin,Discount Category,Loss Flag
Standard Class,Home Office,Concord,New Hampshire,East,Office Supplies,Supplies,27.93,3,0.0,8.0997,29.000000000000004,No Discount,Profit
Second Class,Home Office,Los Angeles,California,West,Office Supplies,Labels,11.56,4,0.0,5.4332,47.0,No Discount,Profit
Standard Class,Consumer,Rockville,Maryland,East,Furniture,Chairs,172.5,2,0.0,51.75,30.0,No Discount,Profit
Standard Class,Consumer,Rockville,Maryland,East,Technology,Phones,179.97,3,0.0,44.9925,25.0,No Discount,Profit
Second Class,Home Office,Houston,Texas,Central,Technology,Accessories,258.696,3,0.2,64.674,25.0,Low Discount,Profit
Standard Class,Consumer,Lakewood,New Jersey,East,Technology,Phones,1322.93,7,0.0,357.1911,27.0,No Discount,Profit
Standard Class,Consumer,Lakewood,New Jersey,East,Office Supplies,Art,3.76,2,0.0,1.0904,29.000000000000004,No Discount,Profit
First Class,Consumer,Jacksonville,North Carolina,South,Office Supplies,Envelopes,21.744,1,0.2,7.3386,33.75,Low Discount,Profit
First Class,Consumer,Jacksonville,North Carolina,South,Technology,Phones,7.92,5,0.2,0.693,8.75,Low Discount,Profit
Standard Class,Corporate,Seattle,Washington,West,Office Supplies,Binders,12.096,7,0.2,4.2336,35.0,Low Discount,Profit
Standard Class,Corporate,Seattle,Washington,West,Office Supplies,Storage,485.88,6,0.0,9.7176,1.9999999999999998,No Discount,Profit
Standard Class,Corporate,Seattle,Washington,West,Office Supplies,Paper,25.92,4,0.0,12.4416,47.99999999999999,No Discount,Profit
Standard Class,Corporate,Seattle,Washington,West,Office Supplies,Storage,197.58,2,0.0,53.3466,27.0,No Discount,Profit
Second Class,Home Office,Los Angeles,California,West,Office Supplies,Appliances,81.92,4,0.0,22.1184,27.0,No Discount,Profit
Second Class,Home Office,Los Angeles,California,West,Technology,Phones,889.536,8,0.2,66.7152,7.5,Low Discount,Profit
Second Class,Home Office,Los Angeles,California,West,Furniture,Chairs,892.224,3,0.2,89.2224,10.0,Low Discount,Profit
Second Class,Home Office,Los Angeles,California,West,Office Supplies,Paper,223.92,4,0.0,109.7208,49.0,No Discount,Profit
Second Class,Home Office,Los Angeles,California,West,Office Supplies,Paper,23.12,4,0.0,11.3288,48.99999999999999,No Discount,Profit
Same Day,Corporate,Coral Springs,Florida,South,Office Supplies,Paper,15.552,3,0.2,5.4432,35.0,Low Discount,Profit
Same Day,Corporate,Coral Springs,Florida,South,Furniture,Furnishings,15.712,4,0.2,2.5532,16.25,Low Discount,Profit
Same Day,Corporate,Coral Springs,Florida,South,Office Supplies,Storage,24.672,2,0.2,2.1588,8.75,Low Discount,Profit
Same Day,Corporate,Coral Springs,Florida,South,Furniture,Furnishings,55.968,1,0.2,-2.0988,-3.75,Low Discount,Loss
Standard Class,Consumer,Houston,Texas,Central,Technology,Accessories,431.928,9,0.2,64.7892,15.0,Low Discount,Profit
Standard Class,Consumer,Houston,Texas,Central,Furniture,Chairs,95.984,4,0.3,-4.1136,-4.285714285714286,Medium discount,Loss
Standard Class,Consumer,Houston,Texas,Central,Office Supplies,Binders,1088.792,4,0.8,-1850.9464,-170.00000000000003,High Discount,Loss
Standard Class,Corporate,Denver,Colorado,West,Furniture,Chairs,544.008,3,0.2,40.8006,7.5,Low Discount,Profit
Standard Class,Corporate,Denver,Colorado,West,Office Supplies,Binders,1.872,3,0.7,-1.4352,-76.66666666666666,High Discount,Loss
Standard Class,Corporate,Denver,Colorado,West,Furniture,Chairs,854.352,3,0.2,10.6794,1.25,Low Discount,Profit
Standard Class,Corporate,Denver,Colorado,West,Office Supplies,Storage,593.568,2,0.2,0.0,0.0,Low Discount,Profit
Standard Class,Corporate,Denver,Colorado,West,Office Supplies,Storage,338.04,3,0.2,-33.804,-10.0,Low Discount,Loss
First Class,Consumer,Charlotte,North Carolina,South,Technology,Phones,271.96,5,0.2,16.9975,6.25,Low Discount,Profit
Second Class,Corporate,New York City,New York,East,Office Supplies,Storage,11.21,1,0.0,3.363,30.0,No Discount,Profit
Second Class,Corporate,New York City,New York,East,Office Supplies,Binders,9.144,3,0.2,3.2004,35.0,Low Discount,Profit
Second Class,Corporate,New York City,New York,East,Office Supplies,Fasteners,14.07,7,0.0,6.8943,49.0,No Discount,Profit
Second Class,Corporate,New York City,New York,East,Office Supplies,Art,41.86,7,0.0,10.465,25.0,No Discount,Profit
Second Class,Corporate,New York City,New York,East,Office Supplies,Binders,8.544,2,0.2,2.8836,33.75,Low Discount,Profit
Second Class,Corporate,New York City,New York,East,Furniture,Bookcases,579.136,4,0.2,21.7176,3.7500000000000004,Low Discount,Profit
Standard Class,Corporate,Philadelphia,Pennsylvania,East,Furniture,Chairs,141.372,2,0.3,-48.4704,-34.28571428571428,Medium discount,Loss
Standard Class,Corporate,Philadelphia,Pennsylvania,East,Office Supplies,Binders,3.036,2,0.7,-2.3276,-76.66666666666666,High Discount,Loss
Standard Class,Corporate,Philadelphia,Pennsylvania,East,Office Supplies,Binders,4.503,1,0.7,-3.6024,-80.0,High Discount,Loss
Standard Class,Corporate,Philadelphia,Pennsylvania,East,Office Supplies,Art,4.672,1,0.2,1.5768,33.75,Low Discount,Profit
Standard Class,Corporate,Philadelphia,Pennsylvania,East,Technology,Accessories,95.88,3,0.2,28.764,30.0,Low Discount,Profit
Standard Class,Corporate,Philadelphia,Pennsylvania,East,Furniture,Furnishings,17.024,2,0.2,1.7024,10.0,Low Discount,Profit
Standard Class,Corporate,Philadelphia,Pennsylvania,East,Technology,Accessories,258.696,3,0.2,64.674,25.0,Low Discount,Profit
Standard Class,Corporate,Philadelphia,Pennsylvania,East,Technology,Phones,1931.958,7,0.4,-386.3916,-20.0,Medium discount,Loss
Standard Class,Home Office,Los Angeles,California,West,Office Supplies,Storage,249.75,9,0.0,44.955,18.0,No Discount,Profit
Standard Class,Home Office,Los Angeles,California,West,Technology,Phones,255.936,8,0.2,28.7928,11.249999999999998,Low Discount,Profit
First Class,Consumer,New York City,New York,East,Furniture,Furnishings,113.79,3,0.0,20.4822,18.0,No Discount,Profit
First Class,Consumer,New York City,New York,East,Technology,Accessories,78.15,1,0.0,34.386,44.0,No Discount,Profit
First Class,Consumer,New York City,New York,East,Office Supplies,Binders,1.728,1,0.2,0.6048,35.0,Low Discount,Profit
First Class,Consumer,New York City,New York,East,Office Supplies,Paper,40.56,4,0.0,19.8744,49.0,No Discount,Profit
First Class,Consumer,New York City,New York,East,Office Supplies,Storage,182.94,3,0.0,3.6588,2.0,No Discount,Profit
First Class,Consumer,New York City,New York,East,Office Supplies,Storage,193.86,2,0.0,11.6316,6.0,No Discount,Profit
Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Envelopes,15.28,2,0.0,7.4872,49.0,No Discount,Profit
Standard Class,Consumer,Los Angeles,California,West,Furniture,Furnishings,8.73,1,0.0,2.9682,34.0,No Discount,Profit
Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Art,5.68,2,0.0,1.7608,31.0,No Discount,Profit
Second Class,Consumer,Buffalo,New York,East,Office Supplies,Art,2.78,2,0.0,0.7228,26.0,No Discount,Profit
Second Class,Consumer,Buffalo,New York,East,Office Supplies,Envelopes,79.96,2,0.0,35.982,45.0,No Discount,Profit
First Class,Corporate,Cincinnati,Ohio,East,Technology,Copiers,839.988,2,0.4,69.999,8.333333333333332,Medium discount,Profit
Same Day,Consumer,Boynton Beach,Florida,South,Furniture,Furnishings,47.952,3,0.2,13.7862,28.749999999999996,Low Discount,Profit
Same Day,Consumer,Boynton Beach,Florida,South,Office Supplies,Binders,37.425,5,0.7,-29.94,-80.0,High Discount,Loss
Same Day,Consumer,Boynton Beach,Florida,South,Furniture,Furnishings,63.968,2,0.2,0.0,0.0,Low Discount,Profit
Same Day,Consumer,Boynton Beach,Florida,South,Furniture,Furnishings,165.048,3,0.2,41.262,25.0,Low Discount,Profit
Standard Class,Consumer,Seattle,Washington,West,Furniture,Furnishings,12.35,1,0.0,5.434,44.0,No Discount,Profit
Standard Class,Consumer,Seattle,Washington,West,Office Supplies,Art,40.97,1,0.0,10.6522,26.0,No Discount,Profit
Standard Class,Consumer,Seattle,Washington,West,Office Supplies,Fasteners,22.96,2,0.0,10.7912,47.0,No Discount,Profit
Standard Class,Home Office,New York City,New York,East,Technology,Phones,22.0,4,0.0,5.5,25.0,No Discount,Profit
Standard Class,Consumer,New York City,New York,East,Office Supplies,Binders,398.352,3,0.2,124.485,31.25,Low Discount,Profit
Standard Class,Consumer,New York City,New York,East,Office Supplies,Fasteners,8.72,4,0.0,3.5752,41.0,No Discount,Profit
Standard Class,Consumer,Gulfport,Mississippi,South,Office Supplies,Envelopes,48.69,9,0.0,23.8581,49.00000000000001,No Discount,Profit
Second Class,Consumer,Fresno,California,West,Furniture,Tables,764.688,6,0.2,95.586,12.5,Low Discount,Profit
Second Class,Consumer,Fresno,California,West,Furniture,Tables,3610.848,12,0.2,135.4068,3.75,Low Discount,Profit
Second Class,Consumer,Fresno,California,West,Furniture,Bookcases,254.9745,3,0.15,11.9988,4.705882352941177,Low Discount,Profit
Standard Class,Consumer,New York City,New York,East,Office Supplies,Art,38.82,6,0.0,17.469,45.0,No Discount,Profit
Standard Class,Consumer,New York City,New York,East,Furniture,Chairs,1141.938,9,0.1,139.5702,12.22222222222222,Low Discount,Profit
Standard Class,Consumer,New York City,New York,East,Office Supplies,Appliances,1704.56,13,0.0,511.368,30.0,No Discount,Profit
Standard Class,Consumer,New York City,New York,East,Office Supplies,Art,3.2,2,0.0,1.376,42.99999999999999,No Discount,Profit
Standard Class,Consumer,Milwaukee,Wisconsin,Central,Technology,Phones,1099.96,4,0.0,285.9896,26.0,No Discount,Profit
Standard Class,Home Office,Chester,Pennsylvania,East,Office Supplies,Art,5.248,2,0.2,0.5904,11.25,Low Discount,Profit
Standard Class,Home Office,Chester,Pennsylvania,East,Technology,Phones,35.91,3,0.4,-8.379,-23.333333333333332,Medium discount,Loss
Standard Class,Home Office,Chester,Pennsylvania,East,Furniture,Furnishings,6.696,1,0.2,0.5022,7.5,Low Discount,Profit
Standard Class,Home Office,Chester,Pennsylvania,East,Furniture,Furnishings,43.872,2,0.2,11.5164,26.25,Low Discount,Profit
Second Class,Home Office,Charlotte,North Carolina,South,Office Supplies,Binders,27.882,3,0.7,-20.4468,-73.33333333333333,High Discount,Loss
Second Class,Home Office,Charlotte,North Carolina,South,Office Supplies,Storage,540.048,3,0.2,-47.2542,-8.75,Low Discount,Loss
Second Class,Home Office,Charlotte,North Carolina,South,Technology,Accessories,255.68,8,0.2,76.704,30.0,Low Discount,Profit
Standard Class,Consumer,Jacksonville,Florida,South,Technology,Phones,863.88,3,0.2,107.985,12.5,Low Discount,Profit
Standard Class,Corporate,Greenville,North Carolina,South,Office Supplies,Binders,17.616,4,0.7,-14.0928,-80.0,High Discount,Loss
Second Class,Consumer,Long Beach,New York,East,Office Supplies,Binders,17.472,3,0.2,6.3336,36.24999999999999,Low Discount,Profit
First Class,Consumer,La Porte,Indiana,Central,Technology,Phones,69.9,2,0.0,18.873,27.0,No Discount,Profit
First Class,Consumer,La Porte,Indiana,Central,Furniture,Furnishings,41.85,5,0.0,10.881,26.0,No Discount,Profit
Standard Class,Consumer,San Francisco,California,West,Office Supplies,Art,6.57,3,0.0,1.7739,27.0,No Discount,Profit
Standard Class,Corporate,Los Angeles,California,West,Office Supplies,Storage,142.86,1,0.0,41.4294,28.999999999999996,No Discount,Profit
Standard Class,Corporate,Los Angeles,California,West,Furniture,Chairs,292.272,6,0.2,18.267,6.25,Low Discount,Profit
Standard Class,Corporate,Louisville,Colorado,West,Furniture,Furnishings,29.328,3,0.2,3.666,12.5,Low Discount,Profit
Standard Class,Consumer,Florence,Alabama,South,Office Supplies,Paper,12.48,2,0.0,5.616,44.99999999999999,No Discount,Profit
Standard Class,Corporate,Chicago,Illinois,Central,Office Supplies,Storage,102.336,4,0.2,-12.792,-12.5,Low Discount,Loss
Standard Class,Corporate,Chicago,Illinois,Central,Office Supplies,Appliances,48.792,3,0.8,-126.8592,-260.0,High Discount,Loss
Standard Class,Corporate,Chicago,Illinois,Central,Office Supplies,Binders,44.848,8,0.8,-67.272,-150.00000000000003,High Discount,Loss
Same Day,Consumer,Fort Worth,Texas,Central,Office Supplies,Paper,10.368,2,0.2,3.6288,35.0,Low Discount,Profit
Same Day,Consumer,Fort Worth,Texas,Central,Furniture,Chairs,388.43,5,0.3,-88.784,-22.857142857142858,Medium discount,Loss
Same Day,Consumer,Fort Worth,Texas,Central,Office Supplies,Paper,14.352,3,0.2,5.2026,36.25,Low Discount,Profit
Same Day,Consumer,Fort Worth,Texas,Central,Technology,Accessories,63.992,1,0.2,-7.1991,-11.25,Low Discount,Loss
Standard Class,Consumer,Houston,Texas,Central,Office Supplies,Art,86.352,3,0.2,5.397,6.25,Low Discount,Profit
First Class,Corporate,Macon,Georgia,South,Technology,Accessories,32.97,3,0.0,12.8583,39.0,No Discount,Profit
First Class,Corporate,Macon,Georgia,South,Technology,Accessories,83.88,4,0.0,30.1968,36.00000000000001,No Discount,Profit
First Class,Consumer,Cedar Rapids,Iowa,Central,Technology,Phones,278.4,3,0.0,80.736,29.000000000000004,No Discount,Profit
First Class,Consumer,Jacksonville,Florida,South,Office Supplies,Labels,15.12,3,0.2,4.914,32.5,Low Discount,Profit
First Class,Consumer,Jacksonville,Florida,South,Office Supplies,Binders,17.43,1,0.7,-13.363,-76.66666666666666,High Discount,Loss
First Class,Consumer,Jacksonville,Florida,South,Office Supplies,Paper,251.64,3,0.2,88.074,35.0,Low Discount,Profit
Standard Class,Consumer,Austin,Texas,Central,Office Supplies,Binders,2.772,7,0.8,-4.851,-175.00000000000003,High Discount,Loss
Standard Class,Consumer,Providence,Rhode Island,East,Office Supplies,Storage,14.9,5,0.0,1.043,6.999999999999999,No Discount,Profit
Standard Class,Home Office,New York City,New York,East,Office Supplies,Art,15.48,3,0.0,4.4892,29.000000000000004,No Discount,Profit
Standard Class,Corporate,New York City,New York,East,Furniture,Furnishings,39.88,2,0.0,11.1664,27.999999999999996,No Discount,Profit
Standard Class,Corporate,New York City,New York,East,Office Supplies,Binders,12.192,4,0.2,4.1148,33.75,Low Discount,Profit
Standard Class,Corporate,New York City,New York,East,Office Supplies,Art,20.82,3,0.0,7.4952,36.0,No Discount,Profit
First Class,Home Office,San Francisco,California,West,Office Supplies,Binders,13.216,4,0.2,4.4604,33.75,Low Discount,Profit
First Class,Home Office,San Francisco,California,West,Office Supplies,Paper,32.4,5,0.0,15.552,48.0,No Discount,Profit
Standard Class,Consumer,San Diego,California,West,Office Supplies,Supplies,32.94,3,0.0,9.2232,28.000000000000004,No Discount,Profit
Standard Class,Consumer,San Diego,California,West,Office Supplies,Paper,114.2,5,0.0,52.532,46.0,No Discount,Profit
Standard Class,Consumer,San Diego,California,West,Office Supplies,Labels,3.08,1,0.0,1.4784,48.0,No Discount,Profit
Standard Class,Consumer,Pueblo,Colorado,West,Office Supplies,Appliances,845.728,13,0.2,84.5728,10.0,Low Discount,Profit
Standard Class,Corporate,Fairfield,California,West,Office Supplies,Binders,13.904,2,0.2,4.5188,32.49999999999999,Low Discount,Profit
Standard Class,Corporate,Fairfield,California,West,Office Supplies,Binders,20.72,2,0.2,6.475,31.25,Low Discount,Profit
Second Class,Corporate,Saint Paul,Minnesota,Central,Technology,Phones,114.95,5,0.0,2.299,2.0,No Discount,Profit
First Class,Consumer,San Francisco,California,West,Office Supplies,Storage,26.96,2,0.0,7.0096,26.0,No Discount,Profit
Second Class,Consumer,Springfield,Virginia,South,Furniture,Furnishings,572.76,6,0.0,166.1004,29.000000000000004,No Discount,Profit
Second Class,Consumer,Springfield,Virginia,South,Furniture,Furnishings,286.38,3,0.0,83.0502,29.000000000000004,No Discount,Profit
Second Class,Home Office,Arlington,Virginia,South,Furniture,Bookcases,61.96,2,0.0,4.3372,7.000000000000001,No Discount,Profit
Standard Class,Consumer,Columbus,Georgia,South,Furniture,Furnishings,23.99,1,0.0,5.5177,23.0,No Discount,Profit
Standard Class,Consumer,Columbus,Georgia,South,Technology,Phones,287.97,3,0.0,77.7519,27.0,No Discount,Profit
Second Class,Consumer,Houston,Texas,Central,Technology,Phones,419.944,7,0.2,52.493,12.5,Low Discount,Profit
First Class,Consumer,Pasadena,California,West,Office Supplies,Paper,46.76,7,0.0,22.4448,48.00000000000001,No Discount,Profit
First Class,Consumer,Pasadena,California,West,Office Supplies,Binders,17.712,3,0.2,6.4206,36.25000000000001,Low Discount,Profit
First Class,Consumer,Pasadena,California,West,Office Supplies,Appliances,21.78,2,0.0,5.6628,25.999999999999996,No Discount,Profit
First Class,Consumer,Pasadena,California,West,Office Supplies,Storage,161.94,3,0.0,9.7164,6.000000000000001,No Discount,Profit
First Class,Consumer,Pasadena,California,West,Furniture,Chairs,161.568,2,0.2,-8.0784,-5.0,Low Discount,Loss
Standard Class,Consumer,Lawrence,Massachusetts,East,Office Supplies,Labels,3.69,1,0.0,1.7343,47.0,No Discount,Profit
Standard Class,Consumer,Lawrence,Massachusetts,East,Office Supplies,Labels,122.12,4,0.0,56.1752,46.0,No Discount,Profit
Standard Class,Consumer,Columbus,Ohio,East,Furniture,Chairs,155.372,2,0.3,-13.3176,-8.571428571428571,Medium discount,Loss
Standard Class,Corporate,Los Angeles,California,West,Office Supplies,Paper,38.88,6,0.0,18.6624,48.00000000000001,No Discount,Profit
Standard Class,Corporate,Los Angeles,California,West,Furniture,Furnishings,183.84,8,0.0,62.5056,34.0,No Discount,Profit
Standard Class,Corporate,Los Angeles,California,West,Office Supplies,Supplies,579.3,5,0.0,28.965,5.0,No Discount,Profit
Standard Class,Consumer,Philadelphia,Pennsylvania,East,Technology,Accessories,14.2,1,0.2,3.3725,23.75,Low Discount,Profit
Standard Class,Corporate,Deltona,Florida,South,Technology,Phones,575.92,2,0.2,71.99,12.5,Low Discount,Profit
Standard Class,Corporate,Deltona,Florida,South,Office Supplies,Binders,5.184,6,0.7,-3.6288,-70.0,High Discount,Loss
Standard Class,Consumer,Cincinnati,Ohio,East,Office Supplies,Binders,5.229,3,0.7,-4.1832,-80.0,High Discount,Loss
Standard Class,Consumer,Cincinnati,Ohio,East,Office Supplies,Storage,285.552,2,0.2,35.694,12.5,Low Discount,Profit
Standard Class,Consumer,Murray,Kentucky,South,Office Supplies,Appliances,72.8,5,0.0,19.656,27.0,No Discount,Profit
First Class,Consumer,Wilmington,North Carolina,South,Office Supplies,Paper,10.816,4,0.2,3.5152,32.5,Low Discount,Profit
Standard Class,Corporate,Lawrence,Massachusetts,East,Office Supplies,Storage,46.26,3,0.0,12.4902,27.0,No Discount,Profit
First Class,Consumer,Chicago,Illinois,Central,Office Supplies,Binders,17.46,6,0.8,-30.555,-175.0,High Discount,Loss
Standard Class,Home Office,Philadelphia,Pennsylvania,East,Furniture,Furnishings,51.072,6,0.2,5.1072,10.0,Low Discount,Profit
First Class,Corporate,Norwich,Connecticut,East,Office Supplies,Paper,11.34,1,0.0,5.5566,49.00000000000001,No Discount,Profit
Second Class,Home Office,San Francisco,California,West,Office Supplies,Art,87.92,4,0.0,26.376,30.0,No Discount,Profit
Standard Class,Consumer,San Francisco,California,West,Furniture,Furnishings,37.05,3,0.0,16.302,44.0,No Discount,Profit
Standard Class,Home Office,Lorain,Ohio,East,Technology,Phones,2.97,1,0.4,-0.6435,-21.666666666666664,Medium discount,Loss
Standard Class,Home Office,Lorain,Ohio,East,Office Supplies,Storage,27.44,2,0.2,2.401,8.75,Low Discount,Profit
Standard Class,Consumer,Dallas,Texas,Central,Office Supplies,Binders,1.08,3,0.8,-1.728,-160.0,High Discount,Loss
Standard Class,Consumer,Dallas,Texas,Central,Office Supplies,Appliances,7.96,2,0.8,-13.93,-175.0,High Discount,Loss
Standard Class,Home Office,Los Angeles,California,West,Office Supplies,Binders,140.736,8,0.2,52.776,37.50000000000001,Low Discount,Profit
Standard Class,Consumer,Middletown,Connecticut,East,Office Supplies,Storage,552.56,4,0.0,0.0,0.0,No Discount,Profit
Standard Class,Consumer,Los Angeles,California,West,Furniture,Furnishings,25.11,3,0.0,6.5286,26.0,No Discount,Profit
Second Class,Consumer,New York City,New York,East,Furniture,Furnishings,29.78,2,0.0,8.0406,26.999999999999996,No Discount,Profit
Second Class,Consumer,New York City,New York,East,Technology,Phones,677.58,3,0.0,176.1708,26.0,No Discount,Profit
Second Class,Consumer,New York City,New York,East,Office Supplies,Paper,75.04,8,0.0,36.0192,47.99999999999999,No Discount,Profit
First Class,Corporate,Jacksonville,North Carolina,South,Technology,Machines,695.7,2,0.5,-27.828,-3.9999999999999996,High Discount,Loss
First Class,Corporate,Jacksonville,North Carolina,South,Office Supplies,Binders,15.66,5,0.7,-12.528,-80.0,High Discount,Loss
First Class,Corporate,Jacksonville,North Carolina,South,Office Supplies,Binders,28.854,6,0.7,-21.1596,-73.33333333333334,High Discount,Loss
Standard Class,Consumer,Freeport,New York,East,Office Supplies,Art,47.82,3,0.0,14.346,30.0,No Discount,Profit
Standard Class,Consumer,Freeport,New York,East,Office Supplies,Labels,13.05,5,0.0,6.003,46.0,No Discount,Profit
Standard Class,Consumer,Lakeville,Minnesota,Central,Office Supplies,Appliances,93.78,2,0.0,36.5742,38.99999999999999,No Discount,Profit
Standard Class,Consumer,Lakeville,Minnesota,Central,Office Supplies,Paper,47.18,7,0.0,23.59,50.0,No Discount,Profit
Standard Class,Consumer,Lakeville,Minnesota,Central,Office Supplies,Art,19.68,6,0.0,5.7072,29.000000000000004,No Discount,Profit
Standard Class,Consumer,Lakeville,Minnesota,Central,Office Supplies,Binders,53.4,10,0.0,25.098,47.0,No Discount,Profit
Standard Class,Consumer,Lakeville,Minnesota,Central,Office Supplies,Binders,35.88,6,0.0,17.2224,48.0,No Discount,Profit
Second Class,Consumer,Evanston,Illinois,Central,Furniture,Chairs,258.279,3,0.3,-70.1043,-27.142857142857142,Medium discount,Loss
First Class,Corporate,Arlington,Virginia,South,Office Supplies,Storage,31.4,2,0.0,7.85,25.0,No Discount,Profit
Standard Class,Corporate,San Francisco,California,West,Technology,Phones,183.96,5,0.2,20.6955,11.249999999999998,Low Discount,Profit
Standard Class,Corporate,San Francisco,California,West,Office Supplies,Paper,17.61,3,0.0,8.4528,48.0,No Discount,Profit
Standard Class,Corporate,San Francisco,California,West,Furniture,Tables,300.904,1,0.2,11.2839,3.75,Low Discount,Profit
Same Day,Consumer,Houston,Texas,Central,Office Supplies,Storage,220.776,3,0.2,-44.1552,-20.0,Low Discount,Loss
Same Day,Consumer,Houston,Texas,Central,Office Supplies,Storage,281.424,11,0.2,-35.178,-12.5,Low Discount,Loss
First Class,Consumer,Louisville,Kentucky,South,Office Supplies,Paper,79.14,3,0.0,36.4044,46.0,No Discount,Profit
First Class,Consumer,Fort Worth,Texas,Central,Furniture,Furnishings,1.988,1,0.6,-1.4413,-72.5,High Discount,Loss
Second Class,Consumer,Los Angeles,California,West,Furniture,Chairs,145.568,2,0.2,0.0,0.0,Low Discount,Profit
Standard Class,Corporate,Philadelphia,Pennsylvania,East,Office Supplies,Art,123.256,7,0.2,9.2442,7.5,Low Discount,Profit
Standard Class,Corporate,Philadelphia,Pennsylvania,East,Office Supplies,Paper,23.68,4,0.2,7.4,31.25,Low Discount,Profit
Standard Class,Corporate,Philadelphia,Pennsylvania,East,Technology,Phones,309.576,4,0.4,-56.7556,-18.333333333333332,Medium discount,Loss
First Class,Corporate,Tucson,Arizona,West,Office Supplies,Binders,38.388,14,0.7,-25.592,-66.66666666666666,High Discount,Loss
First Class,Corporate,Tucson,Arizona,West,Technology,Machines,95.994,2,0.7,-63.996,-66.66666666666667,High Discount,Loss
First Class,Corporate,Tucson,Arizona,West,Technology,Accessories,239.952,6,0.2,-35.9928,-15.000000000000002,Low Discount,Loss
First Class,Corporate,Tucson,Arizona,West,Technology,Phones,201.584,2,0.2,15.1188,7.5,Low Discount,Profit
First Class,Corporate,Tucson,Arizona,West,Furniture,Chairs,899.136,4,0.2,-146.1096,-16.25,Low Discount,Loss
First Class,Home Office,Pico Rivera,California,West,Furniture,Furnishings,145.9,5,0.0,62.737,43.0,No Discount,Profit
Standard Class,Consumer,Colorado Springs,Colorado,West,Furniture,Bookcases,590.058,7,0.7,-786.744,-133.33333333333334,High Discount,Loss
Standard Class,Consumer,Colorado Springs,Colorado,West,Office Supplies,Art,14.04,3,0.2,1.5795,11.25,Low Discount,Profit
Standard Class,Home Office,Clinton,Maryland,East,Technology,Accessories,49.08,3,0.0,4.908,10.0,No Discount,Profit
Second Class,Consumer,Vallejo,California,West,Office Supplies,Labels,29.6,2,0.0,14.8,50.0,No Discount,Profit
Second Class,Consumer,Vallejo,California,West,Office Supplies,Binders,17.088,4,0.2,5.5536,32.5,Low Discount,Profit
Standard Class,Consumer,Provo,Utah,West,Furniture,Tables,912.75,5,0.0,118.6575,13.0,No Discount,Profit
Second Class,Consumer,Pleasant Grove,Utah,West,Office Supplies,Appliances,1089.75,3,0.0,305.13,27.999999999999996,No Discount,Profit
Second Class,Consumer,Pleasant Grove,Utah,West,Office Supplies,Paper,447.84,8,0.0,219.4416,49.0,No Discount,Profit
Second Class,Consumer,Pleasant Grove,Utah,West,Office Supplies,Art,16.4,5,0.0,4.264,26.000000000000007,No Discount,Profit
Second Class,Consumer,Pleasant Grove,Utah,West,Technology,Phones,399.96,5,0.2,34.9965,8.75,Low Discount,Profit
Second Class,Consumer,Pleasant Grove,Utah,West,Office Supplies,Storage,158.9,5,0.0,7.945,5.0,No Discount,Profit
Second Class,Consumer,Pleasant Grove,Utah,West,Office Supplies,Binders,13.184,1,0.2,4.7792,36.25000000000001,Low Discount,Profit
Standard Class,Home Office,Aurora,Illinois,Central,Furniture,Furnishings,83.952,3,0.6,-90.2484,-107.50000000000001,High Discount,Loss
Same Day,Home Office,Smyrna,Georgia,South,Office Supplies,Storage,80.98,1,0.0,1.6196,1.9999999999999998,No Discount,Profit
Same Day,Home Office,Smyrna,Georgia,South,Office Supplies,Paper,348.84,9,0.0,170.9316,49.00000000000001,No Discount,Profit
Same Day,Home Office,Smyrna,Georgia,South,Office Supplies,Fasteners,9.45,5,0.0,0.189,2.0,No Discount,Profit
Same Day,Home Office,Smyrna,Georgia,South,Furniture,Furnishings,18.84,3,0.0,7.1592,38.0,No Discount,Profit
Same Day,Home Office,Smyrna,Georgia,South,Furniture,Bookcases,239.98,2,0.0,52.7956,22.0,No Discount,Profit
Same Day,Home Office,Smyrna,Georgia,South,Office Supplies,Envelopes,167.96,2,0.0,78.9412,47.0,No Discount,Profit
Same Day,Home Office,Smyrna,Georgia,South,Technology,Phones,104.85,3,0.0,28.3095,27.0,No Discount,Profit
Same Day,Home Office,Smyrna,Georgia,South,Technology,Phones,484.83,3,0.0,126.0558,26.0,No Discount,Profit
Same Day,Home Office,Smyrna,Georgia,South,Office Supplies,Paper,122.97,3,0.0,60.2553,49.0,No Discount,Profit
Same Day,Home Office,Smyrna,Georgia,South,Office Supplies,Storage,154.44,3,0.0,1.5444,1.0,No Discount,Profit
Same Day,Home Office,Smyrna,Georgia,South,Office Supplies,Paper,342.37,7,0.0,160.9139,47.0,No Discount,Profit
First Class,Corporate,Burlington,North Carolina,South,Office Supplies,Art,9.552,3,0.2,1.5522,16.25,Low Discount,Profit
Standard Class,Corporate,Aurora,Illinois,Central,Furniture,Tables,652.45,5,0.5,-430.617,-66.0,High Discount,Loss
Standard Class,Corporate,Aurora,Illinois,Central,Furniture,Tables,66.645,3,0.5,-42.6528,-64.0,High Discount,Loss
First Class,Consumer,New York City,New York,East,Office Supplies,Binders,17.216,4,0.2,6.0256,35.0,Low Discount,Profit
